[12:21:29.068] {'add_noise_prob': 1.0,
 'base_lr': 0.01,
 'batch_size': 4,
 'cfg': 'config_3d_complete.yml',
 'conf_threshold': 0.8,
 'consistency': 2.0,
 'consistency_rampup': 40,
 'cutmix_prob': 1.0,
 'deterministic': 1,
 'ema_decay': 0.99,
 'exp': 'LA_leave/v17',
 'flag_ema_buffer': True,
 'flag_ema_mode_train': False,
 'flag_extra_weak': True,
 'flag_not_use_noise_weak': False,
 'flag_pseudo_from_student': False,
 'flag_sampling_based_on_lb': False,
 'flag_ulb_loss_type': 'ce',
 'flag_use_color_augs': True,
 'flag_use_dynamic_cutmix': False,
 'flag_use_teacher_warmup': False,
 'gpu_id': 0,
 'labeled_bs': 2,
 'labeled_num': 4,
 'max_iterations': 15000,
 'max_samples': 80,
 'model': 'vnet',
 'num_classes': 2,
 'patch_size': [112, 112, 80],
 'poly': True,
 'res_path': './results/LA',
 'root_path': '../mics_data/LA',
 'save_interval_epoch': 1000000,
 'seed': 2023,
 'test_interval_iter': 200,
 'workers': 4}
[12:21:35.970] 38 iterations per epoch
[12:21:38.386] iteration:1  t-loss:0.7110, loss-lb:0.7110, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:21:39.610] iteration:2  t-loss:0.5519, loss-lb:0.5519, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:21:40.832] iteration:3  t-loss:0.5488, loss-lb:0.5488, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:21:42.054] iteration:4  t-loss:0.4832, loss-lb:0.4832, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:21:43.275] iteration:5  t-loss:0.5426, loss-lb:0.5426, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:21:44.500] iteration:6  t-loss:0.5266, loss-lb:0.5266, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:21:45.718] iteration:7  t-loss:0.4947, loss-lb:0.4947, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:21:46.938] iteration:8  t-loss:0.4290, loss-lb:0.4290, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:21:48.158] iteration:9  t-loss:0.4846, loss-lb:0.4846, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:21:49.381] iteration:10  t-loss:0.4331, loss-lb:0.4325, loss-ulb:0.0377, weight:0.01, high-r:0.00, lr:0.0100
[12:21:50.600] iteration:11  t-loss:0.4685, loss-lb:0.4685, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
