[12:25:48.574] {'add_noise_prob': 1.0,
 'base_lr': 0.01,
 'batch_size': 4,
 'cfg': 'config_3d_complete.yml',
 'conf_threshold': 0.8,
 'consistency': 2.0,
 'consistency_rampup': 40,
 'cutmix_prob': 1.0,
 'deterministic': 1,
 'ema_decay': 0.99,
 'exp': 'LA_leave/v21',
 'flag_ema_buffer': True,
 'flag_ema_mode_train': False,
 'flag_extra_weak': True,
 'flag_not_use_noise_weak': False,
 'flag_pseudo_from_student': False,
 'flag_sampling_based_on_lb': False,
 'flag_ulb_loss_type': 'ce',
 'flag_use_color_augs': True,
 'flag_use_dynamic_cutmix': False,
 'flag_use_teacher_warmup': False,
 'gpu_id': 0,
 'labeled_bs': 2,
 'labeled_num': 8,
 'max_iterations': 15000,
 'max_samples': 80,
 'model': 'vnet',
 'num_classes': 2,
 'patch_size': [112, 112, 80],
 'poly': True,
 'res_path': './results/LA',
 'root_path': '../mics_data/LA',
 'save_interval_epoch': 1000000,
 'seed': 1000,
 'test_interval_iter': 200,
 'workers': 4}
[12:25:56.062] 36 iterations per epoch
[12:25:58.607] iteration:1  t-loss:0.5461, loss-lb:0.5461, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:25:59.800] iteration:2  t-loss:0.5329, loss-lb:0.5329, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:26:00.993] iteration:3  t-loss:0.5396, loss-lb:0.5396, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:26:02.187] iteration:4  t-loss:0.6372, loss-lb:0.6372, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:26:03.384] iteration:5  t-loss:0.4596, loss-lb:0.4596, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:26:04.577] iteration:6  t-loss:0.5192, loss-lb:0.5192, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:26:05.772] iteration:7  t-loss:0.5332, loss-lb:0.5332, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:26:06.965] iteration:8  t-loss:0.5223, loss-lb:0.5223, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:26:08.159] iteration:9  t-loss:0.4797, loss-lb:0.4797, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:26:09.354] iteration:10  t-loss:0.5369, loss-lb:0.5369, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:26:10.548] iteration:11  t-loss:0.4419, loss-lb:0.4419, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:26:11.743] iteration:12  t-loss:0.4202, loss-lb:0.4202, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:26:12.939] iteration:13  t-loss:0.4107, loss-lb:0.4107, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:26:14.134] iteration:14  t-loss:0.4603, loss-lb:0.4593, loss-ulb:0.0720, weight:0.01, high-r:0.00, lr:0.0100
[12:26:15.330] iteration:15  t-loss:0.4007, loss-lb:0.4000, loss-ulb:0.0539, weight:0.01, high-r:0.03, lr:0.0100
[12:26:16.524] iteration:16  t-loss:0.4345, loss-lb:0.4330, loss-ulb:0.1078, weight:0.01, high-r:0.05, lr:0.0100
[12:26:17.720] iteration:17  t-loss:0.3747, loss-lb:0.3737, loss-ulb:0.0732, weight:0.01, high-r:0.05, lr:0.0100
[12:26:18.916] iteration:18  t-loss:0.4196, loss-lb:0.4186, loss-ulb:0.0723, weight:0.01, high-r:0.14, lr:0.0100
[12:26:20.109] iteration:19  t-loss:0.3875, loss-lb:0.3866, loss-ulb:0.0712, weight:0.01, high-r:0.21, lr:0.0100
[12:26:21.303] iteration:20  t-loss:0.3551, loss-lb:0.3538, loss-ulb:0.0964, weight:0.01, high-r:0.18, lr:0.0100
[12:26:22.499] iteration:21  t-loss:0.4031, loss-lb:0.3999, loss-ulb:0.2347, weight:0.01, high-r:0.17, lr:0.0100
[12:26:23.695] iteration:22  t-loss:0.3673, loss-lb:0.3662, loss-ulb:0.0839, weight:0.01, high-r:0.19, lr:0.0100
[12:26:24.887] iteration:23  t-loss:0.3625, loss-lb:0.3611, loss-ulb:0.0993, weight:0.01, high-r:0.17, lr:0.0100
[12:26:26.081] iteration:24  t-loss:0.3342, loss-lb:0.3325, loss-ulb:0.1276, weight:0.01, high-r:0.14, lr:0.0100
[12:26:27.278] iteration:25  t-loss:0.3655, loss-lb:0.3631, loss-ulb:0.1784, weight:0.01, high-r:0.43, lr:0.0100
[12:26:28.471] iteration:26  t-loss:0.3350, loss-lb:0.3339, loss-ulb:0.0797, weight:0.01, high-r:0.37, lr:0.0100
[12:26:29.666] iteration:27  t-loss:0.4207, loss-lb:0.4187, loss-ulb:0.1534, weight:0.01, high-r:0.64, lr:0.0100
[12:26:30.859] iteration:28  t-loss:0.3553, loss-lb:0.3539, loss-ulb:0.1064, weight:0.01, high-r:0.31, lr:0.0100
[12:26:32.057] iteration:29  t-loss:0.3176, loss-lb:0.3167, loss-ulb:0.0661, weight:0.01, high-r:0.40, lr:0.0100
[12:26:33.251] iteration:30  t-loss:0.3654, loss-lb:0.3644, loss-ulb:0.0763, weight:0.01, high-r:0.33, lr:0.0100
[12:26:34.447] iteration:31  t-loss:0.3524, loss-lb:0.3515, loss-ulb:0.0617, weight:0.01, high-r:0.35, lr:0.0100
[12:26:35.640] iteration:32  t-loss:0.2852, loss-lb:0.2846, loss-ulb:0.0484, weight:0.01, high-r:0.34, lr:0.0100
[12:26:36.838] iteration:33  t-loss:0.3269, loss-lb:0.3253, loss-ulb:0.1210, weight:0.01, high-r:0.40, lr:0.0100
[12:26:38.036] iteration:34  t-loss:0.3381, loss-lb:0.3365, loss-ulb:0.1172, weight:0.01, high-r:0.54, lr:0.0100
[12:26:39.231] iteration:35  t-loss:0.3599, loss-lb:0.3596, loss-ulb:0.0213, weight:0.01, high-r:0.35, lr:0.0100
[12:26:40.426] iteration:36  t-loss:0.3424, loss-lb:0.3419, loss-ulb:0.0416, weight:0.01, high-r:0.43, lr:0.0100
[12:26:42.719] iteration:37  t-loss:0.3646, loss-lb:0.3630, loss-ulb:0.1196, weight:0.01, high-r:0.49, lr:0.0100
[12:26:43.956] iteration:38  t-loss:0.3370, loss-lb:0.3348, loss-ulb:0.1595, weight:0.01, high-r:0.94, lr:0.0100
[12:26:45.150] iteration:39  t-loss:0.3600, loss-lb:0.3595, loss-ulb:0.0360, weight:0.01, high-r:0.71, lr:0.0100
[12:26:46.342] iteration:40  t-loss:0.3625, loss-lb:0.3600, loss-ulb:0.1868, weight:0.01, high-r:0.70, lr:0.0100
[12:26:47.534] iteration:41  t-loss:0.3396, loss-lb:0.3372, loss-ulb:0.1804, weight:0.01, high-r:0.73, lr:0.0100
[12:26:48.727] iteration:42  t-loss:0.3478, loss-lb:0.3467, loss-ulb:0.0806, weight:0.01, high-r:0.75, lr:0.0100
[12:26:49.958] iteration:43  t-loss:0.3548, loss-lb:0.3535, loss-ulb:0.1018, weight:0.01, high-r:0.49, lr:0.0100
[12:26:51.152] iteration:44  t-loss:0.3352, loss-lb:0.3333, loss-ulb:0.1409, weight:0.01, high-r:0.47, lr:0.0100
[12:26:52.344] iteration:45  t-loss:0.3157, loss-lb:0.3151, loss-ulb:0.0427, weight:0.01, high-r:0.43, lr:0.0100
[12:26:53.557] iteration:46  t-loss:0.3231, loss-lb:0.3209, loss-ulb:0.1589, weight:0.01, high-r:0.66, lr:0.0100
[12:26:54.749] iteration:47  t-loss:0.3046, loss-lb:0.3028, loss-ulb:0.1342, weight:0.01, high-r:0.46, lr:0.0100
[12:26:55.943] iteration:48  t-loss:0.2918, loss-lb:0.2911, loss-ulb:0.0528, weight:0.01, high-r:0.53, lr:0.0100
[12:26:57.137] iteration:49  t-loss:0.2911, loss-lb:0.2892, loss-ulb:0.1343, weight:0.01, high-r:0.56, lr:0.0100
[12:26:58.329] iteration:50  t-loss:0.3327, loss-lb:0.3321, loss-ulb:0.0493, weight:0.01, high-r:0.45, lr:0.0100
[12:26:59.524] iteration:51  t-loss:0.2852, loss-lb:0.2845, loss-ulb:0.0517, weight:0.01, high-r:0.38, lr:0.0100
[12:27:00.718] iteration:52  t-loss:0.3146, loss-lb:0.3124, loss-ulb:0.1643, weight:0.01, high-r:0.71, lr:0.0100
[12:27:01.915] iteration:53  t-loss:0.3170, loss-lb:0.3162, loss-ulb:0.0608, weight:0.01, high-r:0.76, lr:0.0100
[12:27:03.110] iteration:54  t-loss:0.3253, loss-lb:0.3249, loss-ulb:0.0240, weight:0.01, high-r:0.47, lr:0.0100
[12:27:04.305] iteration:55  t-loss:0.3330, loss-lb:0.3324, loss-ulb:0.0474, weight:0.01, high-r:0.48, lr:0.0100
[12:27:05.501] iteration:56  t-loss:0.3324, loss-lb:0.3307, loss-ulb:0.1201, weight:0.01, high-r:0.80, lr:0.0100
[12:27:06.698] iteration:57  t-loss:0.3238, loss-lb:0.3218, loss-ulb:0.1541, weight:0.01, high-r:0.57, lr:0.0100
[12:27:07.895] iteration:58  t-loss:0.3259, loss-lb:0.3236, loss-ulb:0.1712, weight:0.01, high-r:0.45, lr:0.0100
[12:27:09.089] iteration:59  t-loss:0.2808, loss-lb:0.2780, loss-ulb:0.2055, weight:0.01, high-r:0.72, lr:0.0100
[12:27:10.283] iteration:60  t-loss:0.3171, loss-lb:0.3165, loss-ulb:0.0395, weight:0.01, high-r:0.45, lr:0.0100
