[12:26:56.372] {'add_noise_prob': 1.0,
 'base_lr': 0.01,
 'batch_size': 4,
 'cfg': 'config_3d_complete.yml',
 'conf_threshold': 0.8,
 'consistency': 2.0,
 'consistency_rampup': 40,
 'cutmix_prob': 1.0,
 'deterministic': 1,
 'ema_decay': 0.99,
 'exp': 'LA_leave/v22',
 'flag_ema_buffer': True,
 'flag_ema_mode_train': False,
 'flag_extra_weak': True,
 'flag_not_use_noise_weak': False,
 'flag_pseudo_from_student': False,
 'flag_sampling_based_on_lb': False,
 'flag_ulb_loss_type': 'ce',
 'flag_use_color_augs': True,
 'flag_use_dynamic_cutmix': False,
 'flag_use_teacher_warmup': False,
 'gpu_id': 1,
 'labeled_bs': 2,
 'labeled_num': 16,
 'max_iterations': 15000,
 'max_samples': 80,
 'model': 'vnet',
 'num_classes': 2,
 'patch_size': [112, 112, 80],
 'poly': True,
 'res_path': './results/LA',
 'root_path': '../mics_data/LA',
 'save_interval_epoch': 1000000,
 'seed': 2023,
 'test_interval_iter': 200,
 'workers': 4}
[12:27:03.698] 32 iterations per epoch
[12:27:06.069] iteration:1  t-loss:0.7367, loss-lb:0.7367, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:27:07.291] iteration:2  t-loss:0.5670, loss-lb:0.5670, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:27:08.491] iteration:3  t-loss:0.4999, loss-lb:0.4999, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:27:09.691] iteration:4  t-loss:0.5460, loss-lb:0.5460, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:27:10.891] iteration:5  t-loss:0.5794, loss-lb:0.5794, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:27:12.092] iteration:6  t-loss:0.4661, loss-lb:0.4661, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:27:13.292] iteration:7  t-loss:0.5750, loss-lb:0.5750, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:27:14.493] iteration:8  t-loss:0.7432, loss-lb:0.7432, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:27:15.692] iteration:9  t-loss:0.4000, loss-lb:0.4000, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:27:16.893] iteration:10  t-loss:0.4883, loss-lb:0.4874, loss-ulb:0.0640, weight:0.01, high-r:0.00, lr:0.0100
[12:27:18.094] iteration:11  t-loss:0.5729, loss-lb:0.5729, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:27:19.295] iteration:12  t-loss:0.4842, loss-lb:0.4842, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:27:20.498] iteration:13  t-loss:0.4659, loss-lb:0.4644, loss-ulb:0.1145, weight:0.01, high-r:0.00, lr:0.0100
[12:27:21.699] iteration:14  t-loss:0.4477, loss-lb:0.4457, loss-ulb:0.1455, weight:0.01, high-r:0.00, lr:0.0100
[12:27:22.898] iteration:15  t-loss:0.3977, loss-lb:0.3972, loss-ulb:0.0368, weight:0.01, high-r:0.03, lr:0.0100
[12:27:24.099] iteration:16  t-loss:0.3924, loss-lb:0.3904, loss-ulb:0.1512, weight:0.01, high-r:0.11, lr:0.0100
[12:27:25.301] iteration:17  t-loss:0.3676, loss-lb:0.3665, loss-ulb:0.0816, weight:0.01, high-r:0.22, lr:0.0100
[12:27:26.508] iteration:18  t-loss:0.4188, loss-lb:0.4147, loss-ulb:0.3063, weight:0.01, high-r:0.14, lr:0.0100
[12:27:27.726] iteration:19  t-loss:0.3773, loss-lb:0.3743, loss-ulb:0.2269, weight:0.01, high-r:0.13, lr:0.0100
[12:27:28.928] iteration:20  t-loss:0.4054, loss-lb:0.4035, loss-ulb:0.1362, weight:0.01, high-r:0.36, lr:0.0100
[12:27:30.129] iteration:21  t-loss:0.4271, loss-lb:0.4257, loss-ulb:0.1085, weight:0.01, high-r:0.34, lr:0.0100
[12:27:31.329] iteration:22  t-loss:0.4624, loss-lb:0.4600, loss-ulb:0.1778, weight:0.01, high-r:0.56, lr:0.0100
[12:27:32.531] iteration:23  t-loss:0.3274, loss-lb:0.3265, loss-ulb:0.0697, weight:0.01, high-r:0.21, lr:0.0100
[12:27:33.737] iteration:24  t-loss:0.3388, loss-lb:0.3360, loss-ulb:0.2067, weight:0.01, high-r:0.29, lr:0.0100
[12:27:34.940] iteration:25  t-loss:0.3783, loss-lb:0.3773, loss-ulb:0.0707, weight:0.01, high-r:0.32, lr:0.0100
[12:27:36.140] iteration:26  t-loss:0.3863, loss-lb:0.3856, loss-ulb:0.0574, weight:0.01, high-r:0.33, lr:0.0100
[12:27:37.343] iteration:27  t-loss:0.3326, loss-lb:0.3313, loss-ulb:0.1029, weight:0.01, high-r:0.42, lr:0.0100
[12:27:38.544] iteration:28  t-loss:0.3352, loss-lb:0.3324, loss-ulb:0.2076, weight:0.01, high-r:0.32, lr:0.0100
[12:27:39.745] iteration:29  t-loss:0.4190, loss-lb:0.4173, loss-ulb:0.1328, weight:0.01, high-r:0.43, lr:0.0100
[12:27:40.945] iteration:30  t-loss:0.3808, loss-lb:0.3793, loss-ulb:0.1140, weight:0.01, high-r:0.57, lr:0.0100
[12:27:42.145] iteration:31  t-loss:0.3483, loss-lb:0.3465, loss-ulb:0.1282, weight:0.01, high-r:0.50, lr:0.0100
[12:27:43.345] iteration:32  t-loss:0.3452, loss-lb:0.3446, loss-ulb:0.0449, weight:0.01, high-r:0.36, lr:0.0100
[12:27:45.728] iteration:33  t-loss:0.3252, loss-lb:0.3235, loss-ulb:0.1272, weight:0.01, high-r:0.37, lr:0.0100
[12:27:46.929] iteration:34  t-loss:0.3779, loss-lb:0.3768, loss-ulb:0.0842, weight:0.01, high-r:0.59, lr:0.0100
[12:27:48.129] iteration:35  t-loss:0.3987, loss-lb:0.3969, loss-ulb:0.1343, weight:0.01, high-r:0.48, lr:0.0100
[12:27:49.327] iteration:36  t-loss:0.3919, loss-lb:0.3905, loss-ulb:0.1023, weight:0.01, high-r:0.70, lr:0.0100
[12:27:50.526] iteration:37  t-loss:0.3475, loss-lb:0.3451, loss-ulb:0.1773, weight:0.01, high-r:0.55, lr:0.0100
[12:27:51.723] iteration:38  t-loss:0.3387, loss-lb:0.3378, loss-ulb:0.0685, weight:0.01, high-r:0.51, lr:0.0100
[12:27:52.922] iteration:39  t-loss:0.3161, loss-lb:0.3139, loss-ulb:0.1595, weight:0.01, high-r:0.74, lr:0.0100
[12:27:54.122] iteration:40  t-loss:0.3315, loss-lb:0.3302, loss-ulb:0.0921, weight:0.01, high-r:0.39, lr:0.0100
[12:27:55.323] iteration:41  t-loss:0.3928, loss-lb:0.3921, loss-ulb:0.0454, weight:0.01, high-r:0.53, lr:0.0100
[12:27:56.522] iteration:42  t-loss:0.3442, loss-lb:0.3425, loss-ulb:0.1312, weight:0.01, high-r:0.64, lr:0.0100
[12:27:57.722] iteration:43  t-loss:0.3766, loss-lb:0.3748, loss-ulb:0.1291, weight:0.01, high-r:0.79, lr:0.0100
[12:27:58.922] iteration:44  t-loss:0.3294, loss-lb:0.3291, loss-ulb:0.0262, weight:0.01, high-r:0.48, lr:0.0100
[12:28:00.122] iteration:45  t-loss:0.3328, loss-lb:0.3301, loss-ulb:0.1973, weight:0.01, high-r:0.59, lr:0.0100
[12:28:01.390] iteration:46  t-loss:0.3431, loss-lb:0.3424, loss-ulb:0.0550, weight:0.01, high-r:0.68, lr:0.0100
[12:28:02.592] iteration:47  t-loss:0.3320, loss-lb:0.3312, loss-ulb:0.0599, weight:0.01, high-r:0.42, lr:0.0100
