[12:27:24.068] {'add_noise_prob': 1.0,
 'base_lr': 0.01,
 'batch_size': 4,
 'cfg': 'config_3d_complete.yml',
 'conf_threshold': 0.8,
 'consistency': 2.0,
 'consistency_rampup': 40,
 'cutmix_prob': 1.0,
 'deterministic': 1,
 'ema_decay': 0.99,
 'exp': 'LA_leave/v23',
 'flag_ema_buffer': True,
 'flag_ema_mode_train': False,
 'flag_extra_weak': True,
 'flag_not_use_noise_weak': False,
 'flag_pseudo_from_student': False,
 'flag_sampling_based_on_lb': False,
 'flag_ulb_loss_type': 'ce',
 'flag_use_color_augs': True,
 'flag_use_dynamic_cutmix': False,
 'flag_use_teacher_warmup': False,
 'gpu_id': 2,
 'labeled_bs': 2,
 'labeled_num': 16,
 'max_iterations': 15000,
 'max_samples': 80,
 'model': 'vnet',
 'num_classes': 2,
 'patch_size': [112, 112, 80],
 'poly': True,
 'res_path': './results/LA',
 'root_path': '../mics_data/LA',
 'save_interval_epoch': 1000000,
 'seed': 2000,
 'test_interval_iter': 200,
 'workers': 4}
[12:27:30.956] 32 iterations per epoch
[12:27:33.407] iteration:1  t-loss:0.5458, loss-lb:0.5458, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:27:34.626] iteration:2  t-loss:0.8432, loss-lb:0.8432, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:27:35.844] iteration:3  t-loss:0.6327, loss-lb:0.6327, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:27:37.064] iteration:4  t-loss:0.6475, loss-lb:0.6475, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:27:38.285] iteration:5  t-loss:0.5717, loss-lb:0.5717, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:27:39.506] iteration:6  t-loss:0.5684, loss-lb:0.5684, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:27:40.725] iteration:7  t-loss:0.5489, loss-lb:0.5489, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:27:41.943] iteration:8  t-loss:0.5539, loss-lb:0.5539, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:27:43.162] iteration:9  t-loss:0.4806, loss-lb:0.4806, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:27:44.382] iteration:10  t-loss:0.4433, loss-lb:0.4433, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:27:45.601] iteration:11  t-loss:0.4200, loss-lb:0.4200, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:27:46.822] iteration:12  t-loss:0.4365, loss-lb:0.4365, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:27:48.042] iteration:13  t-loss:0.4874, loss-lb:0.4874, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:27:49.258] iteration:14  t-loss:0.4201, loss-lb:0.4192, loss-ulb:0.0683, weight:0.01, high-r:0.00, lr:0.0100
[12:27:50.479] iteration:15  t-loss:0.4076, loss-lb:0.4062, loss-ulb:0.1078, weight:0.01, high-r:0.00, lr:0.0100
