[12:28:13.372] {'add_noise_prob': 1.0,
 'base_lr': 0.01,
 'batch_size': 4,
 'cfg': 'config_3d_complete.yml',
 'conf_threshold': 0.8,
 'consistency': 2.0,
 'consistency_rampup': 40,
 'cutmix_prob': 1.0,
 'deterministic': 1,
 'ema_decay': 0.99,
 'exp': 'LA_leave/v24',
 'flag_ema_buffer': True,
 'flag_ema_mode_train': False,
 'flag_extra_weak': True,
 'flag_not_use_noise_weak': False,
 'flag_pseudo_from_student': False,
 'flag_sampling_based_on_lb': False,
 'flag_ulb_loss_type': 'ce',
 'flag_use_color_augs': True,
 'flag_use_dynamic_cutmix': False,
 'flag_use_teacher_warmup': False,
 'gpu_id': 3,
 'labeled_bs': 2,
 'labeled_num': 16,
 'max_iterations': 15000,
 'max_samples': 80,
 'model': 'vnet',
 'num_classes': 2,
 'patch_size': [112, 112, 80],
 'poly': True,
 'res_path': './results/LA',
 'root_path': '../mics_data/LA',
 'save_interval_epoch': 1000000,
 'seed': 1000,
 'test_interval_iter': 200,
 'workers': 4}
[12:28:20.207] 32 iterations per epoch
[12:28:22.597] iteration:1  t-loss:0.5867, loss-lb:0.5867, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:28:23.787] iteration:2  t-loss:0.5131, loss-lb:0.5131, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:28:24.979] iteration:3  t-loss:0.5184, loss-lb:0.5184, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:28:26.167] iteration:4  t-loss:0.6103, loss-lb:0.6103, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:28:27.356] iteration:5  t-loss:0.4334, loss-lb:0.4334, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:28:28.624] iteration:6  t-loss:0.5688, loss-lb:0.5688, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:28:29.813] iteration:7  t-loss:0.5657, loss-lb:0.5657, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:28:31.001] iteration:8  t-loss:0.5134, loss-lb:0.5134, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:28:32.191] iteration:9  t-loss:0.4577, loss-lb:0.4577, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:28:33.381] iteration:10  t-loss:0.5264, loss-lb:0.5264, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:28:34.638] iteration:11  t-loss:0.4604, loss-lb:0.4604, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:28:35.825] iteration:12  t-loss:0.4064, loss-lb:0.4064, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:28:37.015] iteration:13  t-loss:0.4307, loss-lb:0.4307, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:28:38.205] iteration:14  t-loss:0.4413, loss-lb:0.4413, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[12:28:39.394] iteration:15  t-loss:0.4227, loss-lb:0.4220, loss-ulb:0.0524, weight:0.01, high-r:0.00, lr:0.0100
