[09:40:15.526] {'add_noise_prob': 1.0,
 'base_lr': 0.01,
 'batch_size': 4,
 'cfg': 'config_3d_complete.yml',
 'conf_threshold': 0.8,
 'consistency': 1.0,
 'consistency_rampup': 40,
 'cutmix_prob': 1.0,
 'deterministic': 1,
 'ema_decay': 0.99,
 'exp': 'LA_leave/v12',
 'flag_ema_buffer': True,
 'flag_ema_mode_train': False,
 'flag_extra_weak': True,
 'flag_not_use_noise_weak': False,
 'flag_pseudo_from_student': False,
 'flag_sampling_based_on_lb': False,
 'flag_ulb_loss_type': 'ce',
 'flag_use_color_augs': True,
 'flag_use_dynamic_cutmix': False,
 'flag_use_teacher_warmup': False,
 'gpu_id': 3,
 'labeled_bs': 2,
 'labeled_num': 8,
 'max_iterations': 15000,
 'max_samples': 80,
 'model': 'vnet',
 'num_classes': 2,
 'patch_size': [112, 112, 80],
 'poly': True,
 'res_path': './results/LA',
 'root_path': '../mics_data/LA',
 'save_interval_epoch': 1000000,
 'seed': 2023,
 'test_interval_iter': 200,
 'workers': 4}
[09:40:22.646] 36 iterations per epoch
[09:40:26.475] iteration:1  t-loss:0.6462, loss-lb:0.6462, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[09:40:27.687] iteration:2  t-loss:0.6078, loss-lb:0.6078, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[09:40:28.888] iteration:3  t-loss:0.5680, loss-lb:0.5680, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[09:40:30.088] iteration:4  t-loss:0.5101, loss-lb:0.5101, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[09:40:31.288] iteration:5  t-loss:0.6856, loss-lb:0.6856, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[09:40:32.492] iteration:6  t-loss:0.4283, loss-lb:0.4283, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[09:40:33.689] iteration:7  t-loss:0.5179, loss-lb:0.5179, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[09:40:34.888] iteration:8  t-loss:0.4526, loss-lb:0.4520, loss-ulb:0.0842, weight:0.01, high-r:0.00, lr:0.0100
[09:40:36.096] iteration:9  t-loss:0.5244, loss-lb:0.5244, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[09:40:37.302] iteration:10  t-loss:0.4964, loss-lb:0.4964, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[09:40:38.501] iteration:11  t-loss:0.4702, loss-lb:0.4702, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[09:40:39.705] iteration:12  t-loss:0.4811, loss-lb:0.4811, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[09:40:40.908] iteration:13  t-loss:0.4167, loss-lb:0.4167, loss-ulb:0.0000, weight:0.01, high-r:0.00, lr:0.0100
[09:40:42.111] iteration:14  t-loss:0.4433, loss-lb:0.4424, loss-ulb:0.1306, weight:0.01, high-r:0.00, lr:0.0100
[09:40:43.312] iteration:15  t-loss:0.4222, loss-lb:0.4214, loss-ulb:0.1093, weight:0.01, high-r:0.02, lr:0.0100
[09:40:46.164] iteration:16  t-loss:0.3994, loss-lb:0.3983, loss-ulb:0.1618, weight:0.01, high-r:0.04, lr:0.0100
[09:40:47.369] iteration:17  t-loss:0.3345, loss-lb:0.3341, loss-ulb:0.0626, weight:0.01, high-r:0.05, lr:0.0100
[09:40:48.568] iteration:18  t-loss:0.4317, loss-lb:0.4298, loss-ulb:0.2880, weight:0.01, high-r:0.08, lr:0.0100
[09:40:49.770] iteration:19  t-loss:0.4122, loss-lb:0.4114, loss-ulb:0.1231, weight:0.01, high-r:0.33, lr:0.0100
[09:40:50.971] iteration:20  t-loss:0.4059, loss-lb:0.4053, loss-ulb:0.0957, weight:0.01, high-r:0.33, lr:0.0100
[09:40:52.177] iteration:21  t-loss:0.4073, loss-lb:0.4069, loss-ulb:0.0509, weight:0.01, high-r:0.24, lr:0.0100
[09:40:53.378] iteration:22  t-loss:0.4036, loss-lb:0.4032, loss-ulb:0.0549, weight:0.01, high-r:0.26, lr:0.0100
[09:40:54.579] iteration:23  t-loss:0.3697, loss-lb:0.3695, loss-ulb:0.0304, weight:0.01, high-r:0.13, lr:0.0100
[09:40:55.782] iteration:24  t-loss:0.3715, loss-lb:0.3702, loss-ulb:0.1914, weight:0.01, high-r:0.40, lr:0.0100
[09:40:56.981] iteration:25  t-loss:0.3839, loss-lb:0.3836, loss-ulb:0.0504, weight:0.01, high-r:0.25, lr:0.0100
[09:40:58.185] iteration:26  t-loss:0.3745, loss-lb:0.3742, loss-ulb:0.0332, weight:0.01, high-r:0.28, lr:0.0100
[09:40:59.388] iteration:27  t-loss:0.3723, loss-lb:0.3714, loss-ulb:0.1317, weight:0.01, high-r:0.27, lr:0.0100
[09:41:00.589] iteration:28  t-loss:0.3118, loss-lb:0.3104, loss-ulb:0.2098, weight:0.01, high-r:0.54, lr:0.0100
[09:41:01.790] iteration:29  t-loss:0.3477, loss-lb:0.3467, loss-ulb:0.1456, weight:0.01, high-r:0.64, lr:0.0100
[09:41:02.990] iteration:30  t-loss:0.3720, loss-lb:0.3715, loss-ulb:0.0717, weight:0.01, high-r:0.44, lr:0.0100
[09:41:04.193] iteration:31  t-loss:0.3149, loss-lb:0.3141, loss-ulb:0.1241, weight:0.01, high-r:0.45, lr:0.0100
[09:41:05.392] iteration:32  t-loss:0.3572, loss-lb:0.3568, loss-ulb:0.0571, weight:0.01, high-r:0.35, lr:0.0100
[09:41:06.595] iteration:33  t-loss:0.3378, loss-lb:0.3371, loss-ulb:0.1137, weight:0.01, high-r:0.23, lr:0.0100
[09:41:07.794] iteration:34  t-loss:0.3669, loss-lb:0.3665, loss-ulb:0.0662, weight:0.01, high-r:0.63, lr:0.0100
[09:41:08.994] iteration:35  t-loss:0.3771, loss-lb:0.3763, loss-ulb:0.1261, weight:0.01, high-r:0.58, lr:0.0100
[09:41:10.195] iteration:36  t-loss:0.3376, loss-lb:0.3361, loss-ulb:0.2115, weight:0.01, high-r:0.75, lr:0.0100
[09:41:12.452] iteration:37  t-loss:0.3670, loss-lb:0.3659, loss-ulb:0.1685, weight:0.01, high-r:0.31, lr:0.0100
[09:41:13.658] iteration:38  t-loss:0.3354, loss-lb:0.3342, loss-ulb:0.1768, weight:0.01, high-r:0.82, lr:0.0100
[09:41:14.857] iteration:39  t-loss:0.2973, loss-lb:0.2963, loss-ulb:0.1381, weight:0.01, high-r:0.42, lr:0.0100
[09:41:16.058] iteration:40  t-loss:0.3684, loss-lb:0.3678, loss-ulb:0.1021, weight:0.01, high-r:0.72, lr:0.0100
[09:41:17.261] iteration:41  t-loss:0.3899, loss-lb:0.3895, loss-ulb:0.0666, weight:0.01, high-r:0.59, lr:0.0100
[09:41:18.461] iteration:42  t-loss:0.3341, loss-lb:0.3330, loss-ulb:0.1686, weight:0.01, high-r:0.67, lr:0.0100
[09:41:19.663] iteration:43  t-loss:0.4074, loss-lb:0.4061, loss-ulb:0.1903, weight:0.01, high-r:0.38, lr:0.0100
[09:41:20.869] iteration:44  t-loss:0.3239, loss-lb:0.3233, loss-ulb:0.0839, weight:0.01, high-r:0.70, lr:0.0100
[09:41:22.072] iteration:45  t-loss:0.3727, loss-lb:0.3717, loss-ulb:0.1542, weight:0.01, high-r:0.80, lr:0.0100
[09:41:23.274] iteration:46  t-loss:0.3644, loss-lb:0.3637, loss-ulb:0.0996, weight:0.01, high-r:0.61, lr:0.0100
[09:41:24.479] iteration:47  t-loss:0.3793, loss-lb:0.3782, loss-ulb:0.1571, weight:0.01, high-r:0.60, lr:0.0100
[09:41:25.682] iteration:48  t-loss:0.3106, loss-lb:0.3091, loss-ulb:0.2314, weight:0.01, high-r:0.98, lr:0.0100
[09:41:26.888] iteration:49  t-loss:0.3215, loss-lb:0.3197, loss-ulb:0.2687, weight:0.01, high-r:0.80, lr:0.0100
[09:41:28.090] iteration:50  t-loss:0.3222, loss-lb:0.3215, loss-ulb:0.0983, weight:0.01, high-r:0.41, lr:0.0100
