[00:51:08.588] {'base_lr': 0.01,
 'batch_size': 24,
 'cfg': 'config_2d_complete.yml',
 'conf_threshold': 0.95,
 'consistency': 2.0,
 'consistency_rampup': 150,
 'cutmix_prob': 1.0,
 'deterministic': False,
 'ema_decay': 0.99,
 'exp': 'ACDC_leave/v20',
 'flag_ema_buffer': True,
 'flag_ema_mode_train': True,
 'flag_extra_weak': True,
 'flag_not_use_noise_weak': False,
 'flag_pseudo_from_student': False,
 'flag_sampling_based_on_lb': False,
 'flag_ulb_loss_type': 'dice',
 'flag_use_color_augs': True,
 'flag_use_dynamic_cutmix': False,
 'flag_use_teacher_warmup': False,
 'gpu_id': 3,
 'labeled_bs': 12,
 'labeled_num': 7,
 'max_iterations': 30000,
 'model': 'unet',
 'num_classes': 4,
 'patch_size': [256, 256],
 'poly': True,
 'res_path': './results/ACDC',
 'root_path': './data/ACDC',
 'save_interval_epoch': 1000000,
 'seed': 2023,
 'test_interval_iter': 200}
[00:51:15.608] Total silices is: 1312, labeled slices is: 136
[00:51:15.610] 98 iterations per epoch
[00:51:19.927] iteration:1  t-loss:1.1302, loss-lb:1.1173, loss-ulb:0.9551, weight:0.01, high-r:0.00, lr:0.0100
[00:51:20.479] iteration:2  t-loss:1.1025, loss-lb:1.0982, loss-ulb:0.3185, weight:0.01, high-r:0.00, lr:0.0100
[00:51:21.023] iteration:3  t-loss:1.0488, loss-lb:1.0427, loss-ulb:0.4521, weight:0.01, high-r:0.00, lr:0.0100
[00:51:21.566] iteration:4  t-loss:0.9689, loss-lb:0.9613, loss-ulb:0.5646, weight:0.01, high-r:0.00, lr:0.0100
[00:51:22.109] iteration:5  t-loss:0.8939, loss-lb:0.8843, loss-ulb:0.7191, weight:0.01, high-r:0.00, lr:0.0100
[00:51:22.652] iteration:6  t-loss:0.8255, loss-lb:0.8153, loss-ulb:0.7547, weight:0.01, high-r:0.00, lr:0.0100
[00:51:23.197] iteration:7  t-loss:0.7171, loss-lb:0.7070, loss-ulb:0.7523, weight:0.01, high-r:0.01, lr:0.0100
[00:51:23.740] iteration:8  t-loss:0.6528, loss-lb:0.6426, loss-ulb:0.7555, weight:0.01, high-r:0.01, lr:0.0100
[00:51:24.284] iteration:9  t-loss:0.5841, loss-lb:0.5740, loss-ulb:0.7514, weight:0.01, high-r:0.02, lr:0.0100
[00:51:24.828] iteration:10  t-loss:0.5324, loss-lb:0.5223, loss-ulb:0.7521, weight:0.01, high-r:0.03, lr:0.0100
[00:51:25.317] iteration:11  t-loss:0.4920, loss-lb:0.4818, loss-ulb:0.7509, weight:0.01, high-r:0.09, lr:0.0100
[00:51:25.807] iteration:12  t-loss:0.4869, loss-lb:0.4768, loss-ulb:0.7515, weight:0.01, high-r:0.13, lr:0.0100
[00:51:26.297] iteration:13  t-loss:0.4631, loss-lb:0.4530, loss-ulb:0.7513, weight:0.01, high-r:0.18, lr:0.0100
[00:51:26.791] iteration:14  t-loss:0.4474, loss-lb:0.4373, loss-ulb:0.7508, weight:0.01, high-r:0.31, lr:0.0100
[00:51:27.289] iteration:15  t-loss:0.4274, loss-lb:0.4173, loss-ulb:0.7503, weight:0.01, high-r:0.58, lr:0.0100
[00:51:27.784] iteration:16  t-loss:0.4269, loss-lb:0.4168, loss-ulb:0.7503, weight:0.01, high-r:0.63, lr:0.0100
[00:51:28.319] iteration:17  t-loss:0.4333, loss-lb:0.4232, loss-ulb:0.7505, weight:0.01, high-r:0.71, lr:0.0100
[00:51:28.815] iteration:18  t-loss:0.4500, loss-lb:0.4399, loss-ulb:0.7505, weight:0.01, high-r:0.72, lr:0.0100
[00:51:29.312] iteration:19  t-loss:0.4675, loss-lb:0.4574, loss-ulb:0.7503, weight:0.01, high-r:0.74, lr:0.0100
[00:51:29.808] iteration:20  t-loss:0.4435, loss-lb:0.4334, loss-ulb:0.7502, weight:0.01, high-r:0.75, lr:0.0100
[00:51:30.305] iteration:21  t-loss:0.4447, loss-lb:0.4346, loss-ulb:0.7502, weight:0.01, high-r:0.76, lr:0.0100
[00:51:30.802] iteration:22  t-loss:0.4313, loss-lb:0.4212, loss-ulb:0.7501, weight:0.01, high-r:0.77, lr:0.0100
[00:51:31.302] iteration:23  t-loss:0.4321, loss-lb:0.4220, loss-ulb:0.7501, weight:0.01, high-r:0.78, lr:0.0100
[00:51:31.800] iteration:24  t-loss:0.4155, loss-lb:0.4053, loss-ulb:0.7504, weight:0.01, high-r:0.79, lr:0.0100
[00:51:32.297] iteration:25  t-loss:0.4277, loss-lb:0.4176, loss-ulb:0.7503, weight:0.01, high-r:0.78, lr:0.0100
